system,core_treatment,n_samples,energy_hartree,var_total,var_kinetic,var_coulomb,var_ecp_local,var_ecp_nonlocal,var_sum_diagonal,mean_el_within_0p05,cusp_measured,cusp_expected,log_ratio_max,frac_log_ratio_clamped
H2,ccecp,40960,-1.160409927368164,0.05881670489907265,1.9844655990600586,2.3041305541992188,0.14375926554203033,0.0,4.4323554039001465,-3.078325033187866,-0.09499591995934169,0.0,0.0,0.0
H2,all_electron,40960,-1.1739771366119385,0.009065533988177776,2.5660343170166016,2.601193904876709,0.0,0.0,5.1672282218933105,-1.319606900215149,-1.0259336576244942,-1.0,0.0,0.0
