system,learning_rate,train_window_energy_hartree,train_window_error_hartree,eval_energy_hartree,eval_blocked_error_hartree,eval_blocking_block_size,eval_n_samples,eval_variance_hartree2,eval_skewness,local_energy_min,local_energy_max,local_energy_q001,local_energy_q999,fraction_beyond_5_mad,mean_shift_if_tail_dropped_mhartree,literature_hartree,literature_source,eval_minus_literature_mhartree,train_minus_literature_mhartree,sigmas_below_literature
LiH,0.05,-8.071093275042074,0.00019503654191918611,-8.070403727321416,0.00011293152553443137,16,409600,0.0032983425098142695,-136.89532893120767,-29.149385382700245,0.04498090912453989,-8.331527621712775,-7.80644035341719,0.0212451171875,-0.11935960440645488,-8.070548,"Cencek-Rychlewski, R = 3.015 a0",0.1442726785843007,-0.5452750420733565,-1.277523507289502
H2,0.05,-1.1743995980298356,2.841520818092983e-05,-1.174401235486874,3.5075945139300874e-05,16,409600,7.148862965658846e-05,42.84086760695555,-2.095496129556004,0.01785456764416793,-1.202597271121933,-1.137059748528642,0.02142822265625,-0.10252667324062159,-1.174476,"Kolos-Wolniewicz, R = 1.4 a0",0.0747645131260466,0.07640197016445249,-2.131503879058034
