system,ecp,n_electrons,charges,e_rhf_hartree,e_vmc_hartree,vmc_error_hartree,e_vmc_minus_rhf_mhartree,ecp_vmc_hartree,ecp_reference_hartree,ecp_error_hartree,ecp_diff_mhartree,n_samples,quadrature,acceptance
H2,ccecp,2,1/1,-1.0874881834619625,-1.0854023117923017,0.0012755808939639145,2.085871669660788,-0.0015677741342095392,-0.0014888323224291865,0.0006158158735447151,-0.0789418117803527,409600,12,0.418
Be,ccecp,2,2,-0.7246155528573259,-0.7252231026899036,0.0011043105575113009,-0.607549832577714,0.4802628384823028,0.48008951330616245,0.0015244581804592493,0.1733251761403265,409600,12,0.512
LiH,ccecp,2,1/1,-0.6987045807224754,-0.6982372241142368,0.0010284369878815714,0.4673566082386005,0.048155909117924264,0.04845277190927659,0.0005553509555233372,-0.29686279135232585,409600,12,0.502
